threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.767,0.5732241065646421,19670.0,6404.0,24279.0,35713.0,0.5106,0.7544,0.3552,0.2087
0.768,0.5727302759827292,19507.0,6344.0,24339.0,35876.0,0.5094,0.7546,0.3522,0.2068
0.769,0.5723266784397878,19428.0,6325.0,24358.0,35955.0,0.5087,0.7544,0.3508,0.2061
0.77,0.5720649126199991,19325.0,6284.0,24399.0,36058.0,0.508,0.7546,0.3489,0.2048
0.771,0.5708944782742893,18995.0,6173.0,24510.0,36388.0,0.5055,0.7547,0.343,0.2012
0.772,0.5703779882890322,18797.0,6095.0,24588.0,36586.0,0.5041,0.7551,0.3394,0.1986
0.773,0.5703179082541164,18738.0,6066.0,24617.0,36645.0,0.5037,0.7554,0.3383,0.1977
0.774,0.5697963156293298,18599.0,6021.0,24662.0,36784.0,0.5026,0.7554,0.3358,0.1962
0.775,0.569232473078623,18412.0,5952.0,24731.0,36971.0,0.5013,0.7557,0.3324,0.194
0.776,0.5682610602114236,18160.0,5872.0,24811.0,37223.0,0.4993,0.7557,0.3279,0.1914
0.777,0.5682043224024572,18040.0,5809.0,24874.0,37343.0,0.4986,0.7564,0.3257,0.1893
0.778,0.5680874098146051,18009.0,5799.0,24884.0,37374.0,0.4984,0.7564,0.3252,0.189
0.779,0.5675241978115003,17869.0,5756.0,24927.0,37514.0,0.4972,0.7564,0.3226,0.1876
0.78,0.5671519305105777,17696.0,5683.0,25000.0,37687.0,0.4961,0.7569,0.3195,0.1852
0.781,0.5664778124519327,17430.0,5577.0,25106.0,37953.0,0.4942,0.7576,0.3147,0.1818
0.782,0.5664989847868778,17380.0,5548.0,25135.0,38003.0,0.494,0.758,0.3138,0.1808
0.783,0.5663611732092613,17316.0,5521.0,25162.0,38067.0,0.4936,0.7582,0.3127,0.1799
0.784,0.5658593970802459,17181.0,5477.0,25206.0,38202.0,0.4925,0.7583,0.3102,0.1785
0.785,0.5653272419739792,17030.0,5426.0,25257.0,38353.0,0.4913,0.7584,0.3075,0.1768
0.786,0.5645428010354109,16759.0,5324.0,25359.0,38624.0,0.4894,0.7589,0.3026,0.1735
0.787,0.5643525816248005,16691.0,5298.0,25385.0,38692.0,0.4889,0.7591,0.3014,0.1727
0.788,0.5643519510771986,16644.0,5272.0,25411.0,38739.0,0.4886,0.7594,0.3005,0.1718
0.789,0.5641399287840413,16579.0,5249.0,25434.0,38804.0,0.4881,0.7595,0.2994,0.1711
0.79,0.5640836429214663,16441.0,5176.0,25507.0,38942.0,0.4874,0.7606,0.2969,0.1687
0.791,0.5639282272080497,16357.0,5139.0,25544.0,39026.0,0.4868,0.7609,0.2953,0.1675
0.792,0.5638756407738453,16288.0,5104.0,25579.0,39095.0,0.4865,0.7614,0.2941,0.1663
0.793,0.563591846098314,16197.0,5071.0,25612.0,39186.0,0.4858,0.7616,0.2925,0.1653
0.794,0.563558398240294,16159.0,5052.0,25631.0,39224.0,0.4856,0.7618,0.2918,0.1647
0.795,0.5631486629358151,16036.0,5009.0,25674.0,39347.0,0.4846,0.762,0.2895,0.1633
0.796,0.5625971432801684,15863.0,4947.0,25736.0,39520.0,0.4833,0.7623,0.2864,0.1612
0.797,0.5625366112988613,15822.0,4928.0,25755.0,39561.0,0.4831,0.7625,0.2857,0.1606
0.798,0.5622530425965258,15722.0,4890.0,25793.0,39661.0,0.4824,0.7628,0.2839,0.1594
0.799,0.5621328351547092,15678.0,4873.0,25810.0,39705.0,0.482,0.7629,0.2831,0.1588
0.8,0.5619225732751321,15615.0,4851.0,25832.0,39768.0,0.4816,0.763,0.2819,0.1581
0.801,0.5618779323880301,15518.0,4800.0,25883.0,39865.0,0.481,0.7638,0.2802,0.1564
0.802,0.5617737946416292,15483.0,4787.0,25896.0,39900.0,0.4808,0.7638,0.2796,0.156
0.803,0.5615203789433495,15408.0,4761.0,25922.0,39975.0,0.4802,0.7639,0.2782,0.1552
0.804,0.5611445434432818,15305.0,4727.0,25956.0,40078.0,0.4794,0.764,0.2763,0.1541
0.805,0.5609803256619653,15211.0,4685.0,25998.0,40172.0,0.4788,0.7645,0.2747,0.1527
0.806,0.5606634877028203,15138.0,4664.0,26019.0,40245.0,0.4782,0.7645,0.2733,0.152
0.807,0.560718333868981,15117.0,4649.0,26034.0,40266.0,0.4781,0.7648,0.273,0.1515
0.808,0.5600221395826084,14937.0,4592.0,26091.0,40446.0,0.4767,0.7649,0.2697,0.1497
0.809,0.5599235090501432,14899.0,4577.0,26106.0,40484.0,0.4764,0.765,0.269,0.1492
0.81,0.559691444288019,14839.0,4558.0,26125.0,40544.0,0.476,0.765,0.2679,0.1486
0.811,0.5592739894096332,14735.0,4526.0,26157.0,40648.0,0.4751,0.765,0.2661,0.1475
0.812,0.558554005853938,14565.0,4476.0,26207.0,40818.0,0.4737,0.7649,0.263,0.1459
0.813,0.5583393666264033,14460.0,4431.0,26252.0,40923.0,0.473,0.7654,0.2611,0.1444
0.814,0.5581465302814155,14352.0,4383.0,26300.0,41031.0,0.4723,0.7661,0.2591,0.1428
0.815,0.5580170688253075,14316.0,4371.0,26312.0,41067.0,0.4721,0.7661,0.2585,0.1425
0.816,0.5578050465321504,14251.0,4348.0,26335.0,41132.0,0.4716,0.7662,0.2573,0.1417
0.817,0.5566506818818563,13930.0,4241.0,26442.0,41453.0,0.4691,0.7666,0.2515,0.1382
0.818,0.5562402686577904,13834.0,4213.0,26470.0,41549.0,0.4683,0.7666,0.2498,0.1373
0.819,0.5561255684299096,13787.0,4194.0,26489.0,41596.0,0.468,0.7668,0.2489,0.1367
0.82,0.5558904347870166,13705.0,4163.0,26520.0,41678.0,0.4674,0.767,0.2475,0.1357
0.821,0.5555181201141091,13606.0,4131.0,26552.0,41777.0,0.4666,0.7671,0.2457,0.1346
0.822,0.5549416813231616,13488.0,4101.0,26582.0,41895.0,0.4656,0.7668,0.2435,0.1337
0.823,0.5548798408746659,13427.0,4071.0,26612.0,41956.0,0.4652,0.7673,0.2424,0.1327
0.824,0.5549298577464779,13382.0,4043.0,26640.0,42001.0,0.465,0.768,0.2416,0.1318
0.825,0.5548003962903701,13346.0,4031.0,26652.0,42037.0,0.4647,0.768,0.241,0.1314
0.826,0.5547475838829701,13286.0,4001.0,26682.0,42097.0,0.4644,0.7686,0.2399,0.1304
0.827,0.5546734205394143,13211.0,3964.0,26719.0,42172.0,0.4639,0.7692,0.2385,0.1292
0.828,0.5541476291678807,13095.0,3932.0,26751.0,42288.0,0.463,0.7691,0.2364,0.1281
