threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.556,0.6261425892547443,40903.0,14920.0,15763.0,14480.0,0.6584,0.7327,0.7385,0.4863
0.557,0.6264584394638661,40799.0,14843.0,15840.0,14584.0,0.6581,0.7332,0.7367,0.4838
0.558,0.6268293618123444,40665.0,14746.0,15937.0,14718.0,0.6577,0.7339,0.7343,0.4806
0.559,0.6273438289255705,40583.0,14669.0,16014.0,14800.0,0.6576,0.7345,0.7328,0.4781
0.56,0.6279129162317617,40489.0,14582.0,16101.0,14894.0,0.6575,0.7352,0.7311,0.4752
0.561,0.628566550761778,40417.0,14502.0,16181.0,14966.0,0.6576,0.7359,0.7298,0.4726
0.562,0.6289830652621258,40270.0,14395.0,16288.0,15113.0,0.6571,0.7367,0.7271,0.4692
0.563,0.6292953946440878,40162.0,14316.0,16367.0,15221.0,0.6568,0.7372,0.7252,0.4666
0.564,0.6294068947619742,40048.0,14246.0,16437.0,15335.0,0.6563,0.7376,0.7231,0.4643
0.565,0.6300237865800061,39925.0,14140.0,16543.0,15458.0,0.6561,0.7385,0.7209,0.4608
0.566,0.6308274243534734,39792.0,14017.0,16666.0,15591.0,0.656,0.7395,0.7185,0.4568
0.567,0.6309448836316868,39657.0,13935.0,16748.0,15726.0,0.6554,0.74,0.7161,0.4542
0.568,0.6314109156854704,39557.0,13851.0,16832.0,15826.0,0.6552,0.7407,0.7142,0.4514
0.569,0.6319709749505659,39462.0,13764.0,16919.0,15921.0,0.6551,0.7414,0.7125,0.4486
0.57,0.6324588098868962,39359.0,13677.0,17006.0,16024.0,0.6549,0.7421,0.7107,0.4458
0.571,0.6330807569724725,39251.0,13579.0,17104.0,16132.0,0.6548,0.743,0.7087,0.4426
0.572,0.6331686937942321,39138.0,13511.0,17172.0,16245.0,0.6543,0.7434,0.7067,0.4403
0.573,0.6338393019124466,39039.0,13415.0,17268.0,16344.0,0.6542,0.7443,0.7049,0.4372
0.574,0.6343271368487771,38936.0,13328.0,17355.0,16447.0,0.654,0.745,0.703,0.4344
0.575,0.6343862291336696,38818.0,13259.0,17424.0,16565.0,0.6535,0.7454,0.7009,0.4321
0.576,0.634550815004137,38681.0,13173.0,17510.0,16702.0,0.6529,0.746,0.6984,0.4293
