threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.29,0.5016055989905951,55328.0,30554.0,129.0,55.0,0.6444,0.6442,0.999,0.9958
0.291,0.5016381903278178,55328.0,30552.0,131.0,55.0,0.6444,0.6442,0.999,0.9957
0.292,0.5016454579553334,55327.0,30551.0,132.0,56.0,0.6444,0.6443,0.999,0.9957
0.293,0.5017632744359679,55322.0,30541.0,142.0,61.0,0.6444,0.6443,0.9989,0.9954
0.294,0.5017705420634836,55321.0,30540.0,143.0,62.0,0.6444,0.6443,0.9989,0.9953
0.295,0.5017778096909993,55320.0,30539.0,144.0,63.0,0.6444,0.6443,0.9989,0.9953
0.296,0.5018266966968331,55320.0,30536.0,147.0,63.0,0.6445,0.6443,0.9989,0.9952
0.297,0.5018249362832531,55318.0,30535.0,148.0,65.0,0.6445,0.6443,0.9988,0.9952
0.298,0.501873823289087,55318.0,30532.0,151.0,65.0,0.6445,0.6444,0.9988,0.9951
0.299,0.5019462735910477,55317.0,30527.0,156.0,66.0,0.6445,0.6444,0.9988,0.9949
0.3,0.501986132555786,55316.0,30524.0,159.0,67.0,0.6446,0.6444,0.9988,0.9948
0.301,0.5020405267755553,55313.0,30519.0,164.0,70.0,0.6446,0.6444,0.9987,0.9947
0.302,0.502047794403071,55312.0,30518.0,165.0,71.0,0.6446,0.6444,0.9987,0.9946
0.303,0.5020623296581024,55310.0,30516.0,167.0,73.0,0.6446,0.6444,0.9987,0.9946
0.304,0.5021021886228406,55309.0,30513.0,170.0,74.0,0.6446,0.6445,0.9987,0.9945
0.305,0.5021836669658969,55309.0,30508.0,175.0,74.0,0.6447,0.6445,0.9987,0.9943
0.306,0.5022488496403421,55309.0,30504.0,179.0,74.0,0.6447,0.6445,0.9987,0.9942
0.307,0.5023375956109142,55308.0,30498.0,185.0,75.0,0.6448,0.6446,0.9986,0.994
0.308,0.5024263415814861,55307.0,30492.0,191.0,76.0,0.6448,0.6446,0.9986,0.9938
0.309,0.5025150875520583,55306.0,30486.0,197.0,77.0,0.6449,0.6447,0.9986,0.9936
0.31,0.5026038335226303,55305.0,30480.0,203.0,78.0,0.6449,0.6447,0.9986,0.9934
0.311,0.5026654953699154,55301.0,30474.0,209.0,82.0,0.645,0.6447,0.9985,0.9932
0.312,0.502696326293558,55299.0,30471.0,212.0,84.0,0.645,0.6447,0.9985,0.9931
0.313,0.5027652557683587,55294.0,30464.0,219.0,89.0,0.645,0.6448,0.9984,0.9929
0.314,0.5028377060703195,55293.0,30459.0,224.0,90.0,0.6451,0.6448,0.9984,0.9927
0.315,0.5029246916273116,55290.0,30452.0,231.0,93.0,0.6451,0.6448,0.9983,0.9925
0.316,0.5029718182195654,55288.0,30448.0,235.0,95.0,0.6451,0.6449,0.9983,0.9923
0.317,0.5030116771843036,55287.0,30445.0,238.0,96.0,0.6451,0.6449,0.9983,0.9922
0.318,0.5031402821196139,55285.0,30436.0,247.0,98.0,0.6452,0.6449,0.9982,0.9919
0.319,0.5032942107646311,55284.0,30426.0,257.0,99.0,0.6453,0.645,0.9982,0.9916
0.32,0.5033902243627187,55282.0,30419.0,264.0,101.0,0.6454,0.6451,0.9982,0.9914
0.321,0.5033867035355588,55278.0,30417.0,266.0,105.0,0.6454,0.6451,0.9981,0.9913
0.322,0.503517068884449,55278.0,30409.0,274.0,105.0,0.6455,0.6451,0.9981,0.9911
0.323,0.5035659558902829,55278.0,30406.0,277.0,105.0,0.6455,0.6451,0.9981,0.991
0.324,0.5036221105236324,55277.0,30402.0,281.0,106.0,0.6455,0.6452,0.9981,0.9908
0.325,0.5037253917492357,55274.0,30394.0,289.0,109.0,0.6456,0.6452,0.998,0.9906
0.326,0.5037960816376166,55271.0,30388.0,295.0,112.0,0.6456,0.6452,0.998,0.9904
0.327,0.5038920952357042,55269.0,30381.0,302.0,114.0,0.6457,0.6453,0.9979,0.9902
0.328,0.5039482498690536,55268.0,30377.0,306.0,115.0,0.6457,0.6453,0.9979,0.99
0.329,0.504051531094657,55265.0,30369.0,314.0,118.0,0.6458,0.6454,0.9979,0.9898
0.33,0.5040896296458152,55262.0,30365.0,318.0,121.0,0.6458,0.6454,0.9978,0.9896
0.331,0.5041620799477761,55261.0,30360.0,323.0,122.0,0.6458,0.6454,0.9978,0.9895
0.332,0.5042834172555707,55260.0,30352.0,331.0,123.0,0.6459,0.6455,0.9978,0.9892
0.333,0.5043323042614045,55260.0,30349.0,334.0,123.0,0.6459,0.6455,0.9978,0.9891
0.334,0.5044120221908809,55258.0,30343.0,340.0,125.0,0.646,0.6455,0.9977,0.9889
0.335,0.5045007681614528,55257.0,30337.0,346.0,126.0,0.6461,0.6456,0.9977,0.9887
0.336,0.5046529363928901,55254.0,30326.0,357.0,129.0,0.6461,0.6456,0.9977,0.9884
0.337,0.5047163586537553,55252.0,30321.0,362.0,131.0,0.6462,0.6457,0.9976,0.9882
0.338,0.5048612592576768,55250.0,30311.0,372.0,133.0,0.6463,0.6457,0.9976,0.9879
0.339,0.5049555124421845,55246.0,30303.0,380.0,137.0,0.6463,0.6458,0.9975,0.9876
0.34,0.5051312439697486,55242.0,30290.0,393.0,141.0,0.6464,0.6459,0.9975,0.9872
